,Company,Job_Title,Location,Salary,Job_Sedcription,URL
0,JSR Micro,Data Scientist/ Data Automation Engineer,"Sunnyvale, CA",$110K-$178K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1098132&s=149&guid=0000017593b3146fbd1bdaeb89b18fc2&src=GD_JOB_AD&t=SRFJ&vt=w&ea=1&cs=1_55a60019&cb=1604500789099&jobListingId=3683373898
1,Flex,Nextracker - Data Scientist/Machine Learning Engineer,"Fremont, CA",$79K-$128K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=224162&s=149&guid=0000017593b3146fbd1bdaeb89b18fc2&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_2819ab92&cb=1604500789101&jobListingId=3727674942
2,23andMe,"Scientist II / Sr. Scientist I, In Vivo Pharmacology","South San Francisco, CA",$78K-$158K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1044074&s=58&guid=0000017593b3146fa1a6766c634997f9&src=GD_JOB_AD&t=SR&vt=w&cs=1_2b3c12bc&cb=1604500789102&jobListingId=3701713177
3,Lucid Motors,Autonomous Driving Data Engineer,"Newark, CA",$99K-$178K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044074&s=58&guid=0000017593b3146fa1a6766c634997f9&src=GD_JOB_AD&t=SR&vt=w&cs=1_4a685cee&cb=1604500789104&jobListingId=3635669760
4,Karius,Scientist,"Redwood City, CA",N/A,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1039387&s=58&guid=0000017593b3146fa1a6766c634997f9&src=GD_JOB_AD&t=SR&vt=w&cs=1_43761e07&cb=1604500789108&jobListingId=3523366549
5,Lucid Motors,Systems Modeling Engineer,"Newark, CA",$83K-$164K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1044074&s=58&guid=0000017593b3146fa1a6766c634997f9&src=GD_JOB_AD&t=SR&vt=w&cs=1_687c5397&cb=1604500789108&jobListingId=3635669748
6,Specific Diagnostics,"Data Scientist, Medical Diagnostics","Mountain View, CA",N/A,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1044077&s=58&guid=0000017593b3146fa1a6766c634997f9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_01c95d23&cb=1604500789108&jobListingId=3667960488
7,Arsenal Biosciences,Scientist,"South San Francisco, CA",N/A,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1070179&s=58&guid=0000017593b3146fa1a6766c634997f9&src=GD_JOB_AD&t=SR&vt=w&cs=1_1c819789&cb=1604500789109&jobListingId=3461039950
8,Cepheid,Supply Chain Data Analyst,"Sunnyvale, CA",$58K-$103K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1044074&s=58&guid=0000017593b3146fa1a6766c634997f9&src=GD_JOB_AD&t=SR&vt=w&cs=1_e276e4b4&cb=1604500789109&jobListingId=3727329269
9,SummerBio,Clinical Laboratory Scientist PM Shift,"Menlo Park, CA",N/A,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1044077&s=58&guid=0000017593b3146fa1a6766c634997f9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_074906a5&cb=1604500789110&jobListingId=3668916709
10,23andMe,"Sr. Associate Scientist / Scientist I, Functional Genomics","South San Francisco, CA",$81K-$165K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1044074&s=58&guid=0000017593b3146fa1a6766c634997f9&src=GD_JOB_AD&t=SR&vt=w&cs=1_d341f143&cb=1604500789110&jobListingId=3701713029
11,PayPal,Risk Decision Scientist,"San Jose, CA",$112K-$176K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1044074&s=58&guid=0000017593b3146fa1a6766c634997f9&src=GD_JOB_AD&t=SR&vt=w&cs=1_1b78cec3&cb=1604500789111&jobListingId=3625801491
12,Intuit,Staff Data Scientist,"Mountain View, CA",$142K-$225K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1044074&s=58&guid=0000017593b3146fa1a6766c634997f9&src=GD_JOB_AD&t=SR&vt=w&cs=1_a9f85b4c&cb=1604500789112&jobListingId=3723091126
13,Earnin,Senior Data Scientist,"Palo Alto, CA",$131K-$207K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1050154&s=58&guid=0000017593b3146fa1a6766c634997f9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_634ff46a&cb=1604500789112&jobListingId=3629053590
14,Strivr,Lead Data Scientist,"Palo Alto, CA",$111K-$178K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=985398&s=58&guid=0000017593b3146fa1a6766c634997f9&src=GD_JOB_AD&t=SR&vt=w&cs=1_6bbd39c3&cb=1604500789112&jobListingId=3564892657
