,Company,Rating,Job_Title,Location,Salary,Job_Description,URL
0,Flex,3.8,Nextracker - Data Scientist/Machine Learning Engineer,"Fremont, CA",79K-128K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=224162&s=149&guid=0000017597c5aada83708c95d412d9ca&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_c944221a&cb=1604569116044&jobListingId=3727674942
1,Strivr,4.5,Lead Data Scientist,"Palo Alto, CA",111K-178K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=985398&s=149&guid=0000017597c5aada83708c95d412d9ca&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_53d93fff&cb=1604569116050&jobListingId=3564892657
2,Specific Diagnostics,2.6,"Data Scientist, Medical Diagnostics","Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1044077&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_cee677da&cb=1604569116064&jobListingId=3667960488
3,Cepheid,3.5,Supply Chain Data Analyst,"Sunnyvale, CA",58K-103K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044074&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_f8725b33&cb=1604569116073&jobListingId=3727329269
4,Karius,2.7,Scientist,"Redwood City, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1039387&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_8c5934fe&cb=1604569116075&jobListingId=3523366549
5,PayPal,4,Risk Decision Scientist,"San Jose, CA",112K-176K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1044074&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_dec3a6b7&cb=1604569116079&jobListingId=3625801491
6,Arsenal Biosciences,5,Scientist,"South San Francisco, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1070179&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_1cf2eee4&cb=1604569116079&jobListingId=3461039950
7,Cepheid,3.5,Senior Failure Investigation Scientist,"Sunnyvale, CA",69K-146K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1044074&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_830d94a1&cb=1604569116080&jobListingId=3727329340
8,Earnin,3.7,Senior Data Scientist,"Palo Alto, CA",131K-207K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1050154&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_dcc282db&cb=1604569116080&jobListingId=3629053590
9,Roche,4.2,Principal Bioinformatics Scientist I,"Pleasanton, CA",132K-202K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1044074&s=58&guid=0000017597c5aada830b3525b380da18&src=GD_JOB_AD&t=SR&vt=w&cs=1_d0b229f8&cb=1604569116080&jobListingId=3705338098
